loss;epoch;iteration;global_iteration
0.04382343590259552;0;100;100
0.05666462704539299;1;14;200
0.11616311967372894;1;114;300
0.01684514433145523;2;28;400
0.022518526762723923;2;128;500
0.013971113599836826;3;42;600
0.023788325488567352;3;142;700
0.04563847929239273;4;56;800
0.06319011747837067;4;156;900
0.014031847938895226;5;70;1000
0.016020847484469414;5;170;1100
0.019582971930503845;6;84;1200
0.05757930129766464;6;184;1300
0.02105890028178692;7;98;1400
0.01668541319668293;8;12;1500
0.057769548147916794;8;112;1600
0.016413209959864616;9;26;1700
0.0313415490090847;9;126;1800
