lr;epoch;iteration;global_iteration
1.3440860215053763e-05;0;100;100
2.6881720430107527e-05;1;14;200
4.032258064516129e-05;1;114;300
4.9581839904420555e-05;2;28;400
4.80884109916368e-05;2;128;500
4.659498207885305e-05;3;42;600
4.51015531660693e-05;3;142;700
4.360812425328555e-05;4;56;800
4.2114695340501795e-05;4;156;900
4.062126642771804e-05;5;70;1000
3.912783751493429e-05;5;170;1100
3.763440860215054e-05;6;84;1200
3.614097968936679e-05;6;184;1300
3.4647550776583035e-05;7;98;1400
3.3154121863799286e-05;8;12;1500
3.1660692951015537e-05;8;112;1600
3.016726403823178e-05;9;26;1700
2.8673835125448028e-05;9;126;1800
2.718040621266428e-05;10;40;1900
2.5686977299880526e-05;10;140;2000
2.4193548387096777e-05;11;54;2100
2.270011947431302e-05;11;154;2200
2.120669056152927e-05;12;68;2300
1.9713261648745522e-05;12;168;2400
1.821983273596177e-05;13;82;2500
1.6726403823178017e-05;13;182;2600
1.5232974910394265e-05;14;96;2700
1.3739545997610515e-05;15;10;2800
1.2246117084826763e-05;15;110;2900
1.0752688172043012e-05;16;24;3000
9.259259259259259e-06;16;124;3100
7.765830346475508e-06;17;38;3200
6.2724014336917564e-06;17;138;3300
4.7789725209080055e-06;18;52;3400
3.2855436081242537e-06;18;152;3500
1.7921146953405017e-06;19;66;3600
2.9868578255675034e-07;19;166;3700
